,movie,user_review_permalink,user_review,gpt_movie_title
43,The Intouchables,https://www.imdb.com/review/rw2524388/,"Do not look at this through the prism of ""Foreign Films"". You'd be wasting your time and miss something far too important.Hollywood does scale like nobody else, leaving the competition gasping in its wake. France does intimacy, and brutality. Nothing is sacred. And rather than try to revive the New Wave or emulate Hollywood like most widely seen French films of late, ""Intouchables"" harnesses its core strengths - ease with intimacy, willingness to ridicule anything and brutal honesty - and delivers one of the funniest, most honest and touching films I have ever seen.Sy is a failed robber, going through the motions and playing the stereotypical jobless émigré. Cluzet is a romantic and melancholy mind trapped in a useless body. The circumstances that bring them together are too funny to spoil here, but meet they do, and an awkward relationship quickly blossoms as they bring out the best in each other.The film's simplicity is delightfully misleading: the script is a masterpiece of comedy writing, and however good the rest of the cast is, the central duo is magical. Sy's comic timing will have you in stitches, but it is his honesty and vulnerability that make you fall in love with the character. Cluzet isn't your typical sad-sack, instead, much of the finest pleasures in the film consist in watching him use his keen mind to mess with the world around him (a subplot about an abstract painting really takes the biscuit, you'll know it when you see it).This is one of the most unique, beautiful and honest friendships ever committed to film. It will make you laugh, it will make you cry... a delightful celebration of everything in life that makes it worthwhile.","The official title of the movie is ""Intouchables"""
44,The Prestige,https://www.imdb.com/review/rw1493095/,"What ""The Prestige"" does very well is recreate a period of show business history near the turn of the century in which competition between magicians was serious and intense. The workings of the complicated illusions are gorgeously brought to life via smartly detailed apparatus that replicate the actual mechanics of Victorian legerdemain. Much of the film rings very true, such as the all-consuming obsessions of the lead characters to be the best and outdo all others. It's an easy step to accept that such unwavering determination spills over into deadly territory, as rival magicians suave Rupert Angier (a riveting performance by Hugh Jackman) and audacious Alfred Borden (Christian Bale effortlessly playing a brooding lower-class Brit) each seek to wreak continuing revenge upon the other.The story, though adapted from a novel, feels like a perfect fit for director Nolan's sensibilities, as the machinations of the two men become increasingly convoluted during a back-and-forth tug of wits that keeps you guessing in the style of Nolan's ""Memento."" As the game grows increasingly deadly, and threatens to consume all they love, the film becomes a fascinating study in single-mindedness.The work is epic in sweep, beautifully filmed, and strongly acted. The only odd note in casting is David Bowie as Nikola Tesla (he looks nothing like the actual Tesla, if you care about these sort of things, and his appearance calls attention to itself as superstar casting often does), but Mr. Bowie holds his own. Solid performances are all around, with Michael Caine adding dignity and depth as the old master, Scarlett Johanssen as the as the lovely stage assistant who becomes the third point in a twisted love triangle, and even Andy Serkis (Gollum!) in a memorable supporting role.The introduction of Tesla adds yet another twist, as the film shifts from real-but-possible stage illusion to steam-punkish sci-fi. This transition is a hard note to pull off, since the beginning of the film doesn't quite suggest such a direction, but if you're willing to let Nolan lead you on the journey into increasingly fantastic realms, the narrative rewards you with thought-provoking moral and dramatic exploration of the issues raised.A truly entertaining movie, and an original, unusual, dark ride -- well worth seeing in a theater for its grand scope and vision.",The Prestige
45,The Prestige,https://www.imdb.com/review/rw4924344/,"Great movie with Great actors writers and twists.Something that i didn't see anybody said about it that rivalry between two magicians is reference to Tesla and Edison's rivalry.
In the beginning they worked together, then became opponents. I think Borden is Tesla cause he always was more talented than Angier (Edison) who stole Borden's idea.Surely on of the best movies in this century, be sure to watch it more than one time.",N/A
46,The Departed,https://www.imdb.com/review/rw1519375/,"Before seeing this, I knew I was in for a treat, given that it's a Scorsese movie, but The Departed was even better than I expected.The acting is outstanding. Leonardo DiCaprio gives what is quite possibly the best performance of his career. Even the people who hate him admit he did a good job. It's turned some haters into fans and my brother who despises him even says he was great. Matt Damon and Jack Nicholson give their best performances since The Talented Mr. Ripley and As Good As It Gets. Mark Wahlberg almost steals the show with the best lines. Ray Winstone, Alec Baldwin, and Martin Sheen are good, too.Definitely one of the best films of the 00's. And easily one of the best remakes of all time. It's intense, funny, exciting, suspenseful, superbly acted, violent, has great characters, and has one of the most shocking scenes I've ever seen. And there's not a boring moment in it's two and a half hour running time. The film will most likely be nominated for picture, director and adapted screenplay, and in my opinion, it deserves all three of them. DiCaprio and Wahlberg also deserve nominations.See this as soon as you can.",The Departed
47,The Departed,https://www.imdb.com/review/rw5486257/,"One of the best films of the 21st century, The Departed keeps you on the edge of your seat and is incredibly exhilarating and the characters are incredibly well written and given great backstory. The ending will shock you and everything that comes before is some of Martin Scorsese's best work.",The Departed
48,The Pianist,https://www.imdb.com/review/rw1866580/,"Film makers have to step carefully when dealing with issues like the Nazi extermination program. There have been equally brutal programs of ethnic cleansing in places like Southeast Asia and Rwanda, in which hundreds of millions died, but nothing like this in Europe since the Middle Ages. The victims here were not only Jews but Gypsies, the mentally ill, homosexuals, socialists, communists, and political undesirables. The Nazis eliminated not six million but some uncountable number between 12 and 15 million. An event like that can't be treated lightly and milked for easy tears, or the event itself is cheapened.Fortunately, the films that have explored the subject have been uniformly well done, as Roman Polanski's ""The Pianist"" is well done. Polanski himself suffered in much the same way as the protagonist, Vlad Szpilman (Adrien Brody). Polanski has a habit of embellishing his tales but there's no question that in this instance he knows what he's talking about.Szpilman is a well-known young pianist on Warsaw radio but the German occupation puts the station out of business. He and his family are herded into the Warsaw ghetto where they are subject to constant abuse and occasional murder. Szpilman barely escapes being sent to Treblinka with the rest of his family. And for the last half of the film, with the help of some friends who endanger themselves by lending him aid, he scuttles rat-like from one hiding place to another, each more dismal and perilous than the last. He suffers jaundice, his hair and beard grow long, his clothes turn to tatters, his food disappears, he's half frozen, and he seems to shrink.He's reduced to living in the attic of a nearly demolished apartment building and is ecstatic to discover a gallon can of pickles overlooked on the top shelf of a kitchen cabinet. The can falls out of his hands while he tries to open it and rolls across the floor to come to rest at the boots of a German officer, Captain Hosenfeld (Thomas Kretschmann). The only Germans we've seen so far have been brutes -- ridiculing the insane, executing Jews who ask simple questions, or simply shooting people chosen at random.We expect nothing from Hosenfeld except a quick shooting. But Hosenfeld is a human being and, having discovered that Szpilman ""is"" -- or rather ""was"" -- a pianist, he asks him to play a piano left in one of the flats. Szpliman has been unable to play for years and when he seats himself we worry that he might not bring it off and, indeed, his first chords are tentative, uncertain. Then his playing becomes automated, the old habits return, and he dashes off a dramatic and exquisitely executed piece of Chopin. Hosenfeld has been leaning back, enjoying the music, then leaves Szpilman quietly to his attic. He returns a few times later, before the Germans withdraw before the Russians, and unceremoniously hands him a few packages of food and, finally, his overcoat. The matter-of-fact compassion shown by Hosenfeld, and Szpilman's desperate need for contact with another human, are very moving.When the Russian troops finally arrive, Szpilman stumbles out of his hovel to greet them, but seeing his overcoat the Russians open fire on him. Szpilman finally convinces them that he is a Pole, not a German, and one of the befuddled soldiers asks, ""Then why the ****ing coat?"" Szpilman is trembling with fear but manages to gulp, ""I was cold."" An epilogue tells us that Szpilman went on with his career and Hosenfeld wound up in a Soviet prison camp where he died in 1952, despite Szpilman's attempt to find him. Under the end credits, a smiling Szpilman plays a lively, sparkling composition by Chopin.It's a remarkable film. Polanski is no longer the Wunderkind but a mature film maker. Nothing is excessive. We need only as much as we need to know to understand Szpilman's travails -- one tragedy following another. There are no sentimental speeches at the final parting of Szpilman and his family. Szpilman himself never breaks down. He simply does what needs to be done to survive. And Adrien Brody captures what Szpilman must have been like. (From some angles he resembles the young Arthur Rubenstein.) Kretschmann gets Hosenfeld down pat as well. In their scenes together we sense their respective positions -- one man with nothing left to lose, the other with nothing left to gain. The story, and the historical facts it's based on, raise many questions about human nature, of course. I'm not at all sure that if we could find the answers to those questions we would like what we found.One of the better films of the year.",The Pianist
49,Gladiator,https://www.imdb.com/review/rw6369539/,"Despite its predecessors, Gladiator has managed to hold its own against many box office hits of today. Russel Crowe acting his heart out in one of the most well cast and filmed epics of a generation.I would most definitely rather watch this than some half thrown together medieval war movie of modern day. Worth a watch",Gladiator
50,American History X,https://www.imdb.com/review/rw0442104/,"When I first heard of ""American History X,"" I thought it was going to be ""just another movie."" Man, was I wrong! The first time I watched it, I sat there as it ended, and I was just completely in a state of shock. This movie, more than any other movie I had seen on the subject of racism, really made me think twice about how I treated people of a different race. The way that Derek Vinyard's family was almost completely split apart and destroyed due to his racist beliefs should be a wake-up call to those people who have any racist beliefs whatsoever. I believe that this movie was a whole lot more than just a ground-breaking, controversial drama; it was a portrayal of exactly how much damage can be done to a family and a nation simply because of the hate for a person or people of a different color, for almost no reason at all. The Bible says that ""God created man in his own image."" It also says to, ""Love your neighbor as yourself,"" which, right there, implies that racism is not something people should even consider. I wouldn't recommend that anyone under the age of 16 see this movie due to its graphic content and language; however, I believe that everyone who is over the age of 16, should see this movie at least once. This way, more people will get a chance to see the true consequences of racism, and how it can easily tear apart a family.",American History X
51,American History X,https://www.imdb.com/review/rw5043820/,"I give this movie a 10 because1) Edward Norton was the meaning of masterful acting, you could just look at his eyes and understand every little pain he felt and caused. His smile and manner switching before and after was so distinguishing that if you did not speak English you could just follow him.2) cinematography : not only the black and white phase was amazing some other shots was masterful3) the cause , I watched this movie in 2019 and it is as important and as relevant as it was 21 years ago",N/A
52,Léon: The Professional,https://www.imdb.com/review/rw0342948/,"Luc Besson's movie Léon (The Professional) gives us an intense story which is maximized in potential by the casting of the movie done by Todd Thaler.  Every aspect of the movie delivers to the audience and makes an impressive overall package.  Jean Reno plays a character named  Léon who has learned to repress his emotions in order to perform his job as a ""cleaner"", or hit-man.  His secluded world is shattered by the young girl named Mathilda who lives on the same floor as he does in an apartment building. When she turns to him for help, he learns about living a normal life, even if the circumstances which unite them are far from normal.The performance delivered by then twelve-year old Natalie Portman as Mathilda is nothing short of brilliant.  Her ability to relate to others with body movement and facial gestures is matched by few, she really brings raw emotion and believability to a difficult role.  Mathilda and Léon are unexpectedly thrown together, but learn to value life from their chance encounter, and how valuable a friendship can be.Jean Reno as Léon gives us a solemn and calculated character who sets all of his energy on his assignments until her is given something else to care about.  Mathilda gives him the daughter that he never had, while Léon serves as a father and friend to her.  Gary Oldman, as the corrupt DEA Agent Norman Stansfield, offers the viewers an amazingly wired and electrical performance which pushes the envelope.  He moves the story along by his actions.  Oldman offers us a memorable portrait of a sadistically obsessed man who stops short of nothing to get what he wants.The Professional is what movie-making is all about.  Without the overuse of special effects, a large shooting location, or a commercially star studded cast, we are given all that could possibly be asked for in a movie.  Portman, Oldman, and Reno, along with Danny Aiello as the hit-contractor Tony remind us that there is no substitute for great acting. There are elements of comedy, drama, and action, and great original music by Eric Serra adds to the energy the film already encapsulates.  The most impressive thing about the movie is its story which is basic but is maximized by all the other elements which go into the making of the movie. Simply put, an intense and impressive movie.",Léon (The Professional)
53,Terminator 2: Judgment Day,https://www.imdb.com/review/rw1352753/,"15 years on and still Terminator 2 remains a turning point in cinematic history introducing the world to photo-realistic computer generated 3D rendering. To this day, this is still an astounding achievement, however (ironically) these are the things that re-watching the film now, you notice as not being to the standard we now expect films to be.As a result of this, you're then forced to look beyond the graphics in search of other quality. When I last watched it (about 3 weeks ago), something stood out to me that never did before because of no longer being mesmerised by the graphics.This was the interactions between characters who are gritting, no nonsense, hard edged people, but those who care deeply for one another. In particular, I'm referring to Sarah and John Connor, but also to the inhuman T-101 in all it's programming trying to humanise itself (at the demand if John).Though these might sound like day to day interactions (pardoning the whole terminator and robotic elements here), but to put them onto film and not have them feel forced or contrived is quite a feat, and all of these were achieved far above the expectation of one watching an ""action"" movie. You truly believe that John is devastated to have to lose T-101. You can tell he's fearful about Sarah going off to kill the man who would kill the world, unwittingly.I urge you all to sit down and watch this film again. You will remember things you've long since forgotten, and maybe appreciate something you never even noticed was there before.",Terminator 2: Judgment Day
54,Terminator 2: Judgment Day,https://www.imdb.com/review/rw1202849/,"I adore this movie. I could never stand action movies, but T2 is so intelligent and moving that it stands apart from everything else.First, the story - brilliant, smoothly making the necessary transition from T1. The dialogue runs the gamut from hilarious to heartbreaking, but always strikes exactly the right chord.The cinematography and effects are stunning, especially the scenes filmed during ""magic hour"", when the pale gold of sunset casts a meaningful and lovely effect on the scene. Being the first $100 million movie naturally the effects are remarkable for their time, but they hold up wonderfully against anything made today.It's the actors, however, who steal the show. Linda Hamilton can play insanity and despair like nobody's business, and she gave her all here. Robert Patrick was wonderful in the demanding role of the T-1000, creepy and threatening even during the funny finger-wagging moment. Arnold Schwarzenegger balances non-stop action with a machine's emerging humanity; frankly this movie cancels out every dumb action flick he ever made. New-comer Edward Furlong carried the film with seeming ease, giving an astonishing performance for his age and lack of experience; the ""We're not gonna make it, are we?"" scene is hauntingly perfect.James Cameron and his team have given us a classic that has something for everyone. You'd never know that this is the guy who made Titanic.",Terminator 2: Judgment Day
55,Cinema Paradiso,https://www.imdb.com/review/rw2067853/,"This film is exquisitely poignant. Giuseppe Tornatore expresses his overpowering love of movies by giving his viewers a genuinely magnificent movie to love and treasure. The final scene is a perfect blend of film editing and soundtrack music. Anyone whose eyes are still dry half way into that glorious scene needs to see a cardiologist ASAP. Cudos to the great Ennio Morricone & son Andrea. Many reviewers insist that the shorter, theatrical-release version is superior to the director's cut. The full-length version makes a central character morally ambiguous, in contrast to the uniformly benevolent father figure depicted in the shorter version. In the long version this character commits an act similar to but far crueler than the behavior of another character who is ridiculed early on. Most new viewers will watch the full-length film. The shorter version is more satisfying for those who secretly prefer fairy tales in which the good guys & bad guys are consistently good guys & bad guys. Viewers who can handle a realistic dose of moral ambiguity owe it to themselves to see the real reel.",N/A
56,Cinema Paradiso,https://www.imdb.com/review/rw1024609/,"It is by now well known that there are two versions of this film that differ greatly, the original 3 hour Italian cut and the heavily re-edited 2 hour version which was the version that charmed the world in 1989. It remains a wonderful experience, but the director's cut is so much richer, deeper, satisfying,well,everything. This review is of the director's cut which may not be the greatest film in the world but is my favourite film of all time ever since I came out of the cinema in which I first saw it in back in 1994 crying my eyes out. Never has a film effected me as emotionally as this one. Cinema Paradiso is many things- a touching story of a friendship, a wonderful portrayal of a Sicilian village, a loving tribute to the cinema, amongst other things, but the longer cut is I believe the most moving and romantic love story ever. For my money, you can forget Casablanca,Dr Zhivago,Titanic,Romeo and Juliet,etc {great as some of them are}, this is the one that does it for me.Divided into three sections, it is the first section that was left almost intact in the short version. It is of course primarily concerned with the relationship between young Toto and the projectionist of his local cinema, Alfredo. It is full of delightful touches,such as Toto stealing a frame of film from behind Alfredo's back, or when Toto helps Alfredo during an exam so he can be allowed into the projection booth, or perhaps best and simplest of all of all Toto's spellbound face as he watches the footage that will be censored by the town priest. The cinema is portrayed as almost being the centre of life in the town Giancaldo in which the film is mostly set. The actual sequences set in the cinema are full of wonderful observation and even some belly laughs. There's the man who only goes to the cinema to sleep and is always awoken by kids, the couple who see each other for the first time because everyone else is cowering from Dr Jekyll And Mr Hyde, the old man who says ""no, this is IMPORTANT"" when everyone else ""booos"" the news-all human life is here, with more observations and insights than in any Mike Leigh film. This section climaxes in a scene which is simply magical, when Alfredo projects a film onto the wall of a house so everyone can see it.As the film moves forward several years to show Toto as a 16 year old, the wonderful cinema scenes are still present. Who can forget the cinema usher telling off a group of young boys for playing with themselves while watching Brigitte Bardot and then sheepishly giving his own manhood a little touch? Director Guiseppe Tornatore also subtly reminds us of changing times, such as when television is first shown in the cinema. However, it is mainly concerned with Toto's {now called Salvatore} courtship of the girl he is in love with, Elena. No one who has experienced the pangs of first love can fail to respond to such scenes as Salvatore ranting on to Elena on the phone how much he loves her and realising he's actually been talking to her mother, or the beautiful first kiss and embrace in the projection booth {of course}.It is in the final section, as Salvatore, now a great film director, returns to Giancaldo as a 50ish man to attend Alfredo's funeral,where the humour all but disappears {well, life gets more serious as one gets older, does it not?} and the pace does slow-be warned. It is possibly the most emotional hour of cinema ever, and was cut to about 15 mins in the short version. Salvatore's reunion with Elena, which also displays absolutely brilliant acting from Jacques Perrin and Brigitte Fossey, is so painful a sequence, as the two characters pour their hearts out to each other. As Ennio Morricone's love theme swells up {a truly heartbreaking piece of music},it ends up being one of the most beautiful love scenes ever filmed. Salvatore's reunion with his mother and his exploration of the cobwebbed, dilapidated, cinema are also extremely moving. As for the final scene, where Salvatore opens a certain gift Alfredo left him-well,there's been too many spoilers already in this review, but suffice to say it is matchless, simply matchless. It was moving in the short cut, but is three times more meaningful in the director's cut.Cinema Paradiso has been called sentimental, but in the director's cut it is a darker, deeper kind of sentimentality. Maybe it is still ""a love letter to the cinema"", but it is also shows that obsessive love of something such as films can also result in sadness and regret. Think of what happens to Alfredo in the film, and as for Salvatore, well, his curse is that he has two loves in his life but success in one of them comes at the expense of the other. The uncut Cinema Paradiso is more then anything else about life and the effect of the decisions we make. O, and the greatest, most heartbreaking love story ever {have I already said this!}",Cinema Paradiso
57,Grave of the Fireflies,https://www.imdb.com/review/rw0258183/,"**SPOILERS**I saw ""Hotaro no haka"" on german TV the other day and it has changed my life! Never have I been so moved by a film in my whole life. I cried and cried and cried. Since then I can´t get this heartbreaking story out of my head.After the movie I went upstairs to the bedroom, where my 3-year-old daughter was sleeping. I woke her up and took her in my arms. In the way she talks and acts she is just like Setsuko, one of the main characters in the film. And I can´t help feeling like Seita, her brother - because my daughter and I are alone since my wife left us a few months ago.I found one of the most touching scenes was the one where the dying Setsuko starts sucking the buttons she collected, because she ran out of her special sweets. I will also never forget how her brother cremates her after having tried everything to save his little sister. The most depressing thing with this movie is: you feel so helpless. You think: Man, I wish I could have helped those kids.This movie has changed my whole attitude to life. All the problems you may have - they become so small. Watch it and you´ll be a different person.Michael Saunders",N/A
58,Back to the Future,https://www.imdb.com/review/rw3686847/,"What can I say about this movie that was already said? It is my favorite time travel sci-fi, adventure epic comedy in the 80's and I love this movie to death! When I saw this movie I was thrown out by its theme. An excellent sci-fi, adventure epic, I LOVE the 80s. It's simple the greatest time travel movie ever happened in the history of world cinema. I love this movie to death, I love, LOVE, love it! I firstly saw this movie in the early 90's as a kid on VHS tape and I was blow away by the action and the score and the title back to the future. This movie is one of the best masterpiece time travel epic adventure film. Michael J. Fox and Christopher Lloyd are fantastic at acting. Music theme score by Alan Silvestri is excellent I could listen to it whole day.Back to the Future (1985) From the Academy Award ""- winning team of Steven Spielberg"" and Robert Zemeckis** comes the hilariously groundbreaking adventure that thrilled critics and audiences alike - and sparked one of the most successful movie trilogy ever! Directed by Robert Zemeckis the movie begins with Marty McFly (Michael J. Fox) a teenager who has a really messed up family. His ultimate goal was to become a rock star which was heartened by his girl friend Jennifer Parker (Claudia Wells). But things went wrong when scientist Dr. Emmett Brown/Doc (Christopher Lloyd) wanted Marty's assistance for his new invention.At that night Marty went to assist Doc's invention the Time traveling Car ""DeLorean"". Marty was told to record Doc's first time travel to the future. At that instant they were attacked by some Libyan terrorists who were cheated by Doc for Plutonium.After killing Doc they turn towards to Marty and without any intention Marty enters the Time Traveling car. But it was previously set by Doc and when activated Marty gets transfer to 1955 from 1985.What will he do next, will he can come back to the future, or will he stuck back in the past for his rest of the life. More than that will his time travel make serious effects on the future? Dealing with time travel and time paradox Steven Spielberg presents this amazing journey of Marty set up in the time of 80's and 50's. Scripted by Robert Zemeckis and Bob Gale for the story of Bob Gale himself, tells a science fiction adventure in a family oriented tone.They really work hard to sculpt that sci-fi thread into a thrilling, culture clashed family movie. A good story with a great script. Also the soul of the movie was given by the legend Alan Silvestri. His composition was all memorable especially in the chasing and emotional scenes. Over the top the theme music, it was the most dazzling and recognizable themes in the movie history.More than that the casting was simply brilliant, each and every actor is born to play their respected roles in this movie. Michael J. Fox was the only actor who can play the role of energetic Marty McFly, which was considered for numerous actors. Also Thomas F. Wilson was brilliant in his performance as the Bad boy Biff Tannen. Lea Thompson did a great work in portraying Lorraine Baines's two different life times, as a teenage girl and a matured mother. Well the extra talented Christopher Lloyd had almost ""chewed every scenes"" in the movie. Mr. Lloyd's versatile performance as the madman and genius scientist Dr. Emmett Brown is one of the great memorable roles in his carrier.Last but not the least, it was Crispin Glover who steal the show as the nerdy teenager/father as George McFly. It was an interesting portrayal as a boy who was transformed to a man. Crispin Glover lived in that part. I don't know whether the movie would be a masterpiece without his unique performance. Above all I want to remember this as a romantic movie and it couldn't be made without the songs ""The Power of Love,"" and ""Earth Angel"".The rating I am giving is 10/10 the original and the best one of all time. I love this film, it is my favorite time travel movie of all time and I love it to death! All in all it is the greatest sci-fi, romantic movie of all time. It is the part of the great Movie History, which consider itself as "" A Modern/Classic Masterpiece! """,Back to the Future
59,Once Upon a Time in the West,https://www.imdb.com/review/rw0106407/,"Sergio goes Hollywood for this big-name, big-budget Spaghetti Western. Fonda, Bronson, Robards and Cardinale queue up and take Leone's choreographic direction in an epic tale of blood and revenge.Frank is a bad guy who has killed a lot of people.  He now works for a railroad entrepreneur whose ruthless sterile tracks are spreading ever westward.  The time has come for the real Americans to confront both the railroad and Frank.Leone sat down with film intellectuals Bernardo Bertolucci and Dario Argento and watched dozens of Hollywood westerns.  From this saturation-viewing emerged a 300-page treatment which was eventually distilled into the script, penned by Leone and Sergio Donati.  There are conscious echoes of ""Shane"" and ""High Noon"" in the meticulously-plotted screenplay.  Ennio Morricone apparently sat in on the planning stage and had composed the score in toto before shooting began, the reverese of the usual process of fitting music to existing footage.  The result is a tight matching of soundtrack and visuals.  Robards, Bronson and Cardinale each have musical 'signatures' which play whenever their characters are onscreen. Bronson's is an eerily-wailing harmonica, Robards has the plonking banjo and Cardinale the lush strings.  So intricately was everything structured that the themes were available to be played on set, so that the actors could co-ordinate every nuance of gesture to fit with the score.The film is a grandiose lament to the death of the Wild West.  Decay is everywhere to be seen.  Streets, bars, buildings and people all have a beat-up, grungy look.  When Cheyenne (Robards) pauses beside a rough-hewn wooden post, there is little difference in texture between his face and the post.  Morton the cripple is killing the romantic West of open spaces with his ""snail trail"" of railroad tracks, leaving the fine adventurous men (Cheyenne and Harmonica) nowhere to go.There can be few opening scenes with the visual and aural brilliance of this one.  Three bad guys stake out Flagstone's railroad depot in a High Noon pastiche.  Jack Elam (who was actually in ""High Noon"") leads the villains.  The only spoken words throughout this long (but totally gripping) scene are uttered by the old station clerk.  Haunting rhythms raise the tension to an unbearable pitch ... the squeaking windmill, the chattering tickertape, the creaking bench.  This wonderful crescendo climaxes with the appearance of Bronson, a sequence as stylised and choreographed as a Shinto ceremony, all the more effective for the absence of spontaneity.Equal to and counterbalancing this scene is the very next one, the introduction of Frank.  This time it is ""Shane"" that gets the treatment as the McBain boy spots five men in yellow duster topcoats.  A growing sense of unease on the McBain homestead is beautifully conveyed (was the stopping of a cicada chirp ever so effective?)  A cinematic multiple orgasm ensues, with the musical theme crashing in as the boy sees the devastation, and the camera swoops round to reveal the baddie to be none other than Henry Fonda as Morricone's trademark solitary tubular bell peals out.Cheyenne's entrance is also a piece of impressive cinema.  Inside Lionel Stander's strange labyrinthine tavern, quite unlike any saloon ever filmed before, the violence which hovers around Cheyenne like a dustcloud is heard but not seen, preparing us for his appearance in person.  The sliding of the lamp towards Bronson works brilliantly, the film's two good men sharing the light of humour, the symbolic forging of a meaningful friendship.By a slow accretion, the plot reveals itself.  The leviathan of the railroad must be stopped, and there must be a reckoning with Frank. Gradually the fates of the main characters converge, and swim into sharp focus for the shoot-out.It is not the story, excellent though that is, which lingers in the memory, but rather a hundred individual flashes of brilliance:  Claudia Cardinale (are those eyes for real?) filmed on the bed, viewed vertically downward, through a lace canopy: Cheyenne's surprise method of concealing himself on the train: Morton (""when you're not on that train, you're like a turtle out of its shell"") imprisoned by the armature that helps him walk: the 'heartbeat' of the train's engine during the cardgame: the tension of the ambush preparations against Frank: the eruption of guitar music as Bronson enters the frame: Bronson's stillness and self-possession, the emblem of his righteousness: Fonda's eyes flickering rapidly in his motionless head, denoting the waning of his self-confidence: the amazing super-close-ups of Bronson: and the weird brick arch, the only man-made intrusion into the entire terrain, and the focus of human depravity.",Once Upon a Time in the West
60,Once Upon a Time in the West,https://www.imdb.com/review/rw4800696/,"In full silence, three mysterious men in long trench coats wait in a remote train station. Their faces have anticipation written all over them, even while the most interesting things they can find to do are toying with a fly, drinking water from a hat and cracking their fingers. A dog runs past. The windmill squeaks. The ticket vendor is locked away. The heath bounces off the wooden platform. The men sweat.
Are you bored yet? Then this movie is probably not for you.
But are you dying to know what the three men are waiting for? Does a light anxiety creep onto you whilst reading that description? Can't you wait for the tension to resolve? Then this movie is all you ever wanted.The almost lawless world where outlaws and bandits roam the country with ease that is the setting of the story, is shown by Tonino Delli Colli (director of photography) in all its splendorous grandeur and it's uncountable little details. The set pieces, the costumes and the real life locations in Arizona and Utah make everything believable. And together with the characters and figurants, everything creates a vibrant and utterly believable Western civilisation.Charles Bronson plays the man with the harmonica: a lone wolf looking for something that he chooses not to reveal to anyone until he gets it. A character with no name roaming the endless fields under the sun, announcing his presence at all times with the same melody he plays on his harmonica that echo's in an unsettling way. Bronson does this brilliantly, with a face that overflows with held back emotions and a determination that is downright scary.In a tavern the man meets Manuel 'Cheyenne' Gutiérrez (Jason Robards), a bandit that recently escaped being hung by the neck, re-joining his band of outlaws. With already greying hair, he takes on the situation that arises in the area, trying his part to be the hero that saves the day. Robards portrays a character that, by only one look at him, we can see how the years have shaped him. His performance is outstanding; we want to grab a drink with Cheyenne, but we also get the feeling that being on your guard around him wouldn't be an overrated luxury.The 'damsel in distress' (although she isn't in the original meaning of the word) Jill McBain (played by Claudia Cardinale) turns into a toy of Fate itself. Without any warning she gets involved in something quite over her head, but she handles it masterfully; she refuses to return to New Orleans with her tail between her legs and stays to face the difficulties put before her. Cardinale playing Jill is both an erotic marvel and a woman you wouldn't want to cross.They are all opposed by Frank (Henry Fonda): the local gang leader with a heart of stone and a business proposal at the ready at all times. With his ruthless blue eyes and his gun at the ready he keeps the town quiet. Fonda gives you the creeps with just one gaze at the camera and every sentence leaves the bitter taste of malfeasance.And finally, Gabriele Ferzetti finishes the line of main characters with his deliciously sickening portrayal of the crippled railroad baron Morton. A character that you'd like to slap in the face, but one you feel pity for as well. Outstandingly brought!The soundtrack is composed by the never beaten maestro of film scoring himself: Ennio Morricone. His genius lies in the creation of themes and melodies that will haunt your dreams forever for better or worse. The melancholic main theme that is brought with a heavenly choir draws tears from your eyes after hearing only a couple of chords. The theme of the man with the harmonica is as unsettling as it is epic and Cheyennes' theme creates the lighter counter points in the movie. Morricone uses these motifs ingeniously, hinting at plot points, character motifs and feelings and giving you a sense of the world the movie takes place in. If I could give twelve out of ten stars for the score, I'd do it.Sergio Leone was a masterful director, no need to prove that. He manages to turn even a scene of seven minutes, where three men are merely waiting for a train, into an epic storyline. Two hours and three quarters the tension builds and then resolves... partially, always building towards the end. And that finale! That finale! That finale chilled me to the bone! Throughout the film, question after question is raised, and when one question is answered, another one pops up. So when all pieces of the puzzle fall into place to the score of Ennio Morricone, how can one not be moved by it?For Leone, there was no better way to reach the top of the Western genre.
And for us, there never will be a film that is more Western than 'Once Upon a Time in the West'.",Once Upon a Time in the West
61,Psycho,https://www.imdb.com/review/rw4120051/,"A seminal classic of horror by master Alfred Hitchcock, with some of the most memorable iconic scenes in the history of Cinema. Tense, horrific and a superb lesson in filmmaking, it offers well-constructed characters, a lot of revealing dialogue and a huge regard for details.
Hitchcock's classic ""comedy"" featuring the world's most famous mother's boy is one of the most influential films ever made; every serial killer and slasher movie owes something to this, one of the true greats of cinema.","First Text: Psycho
Second Text: Unknown"
