,sentence,table,location,month
1657,there are 39782 total recovered cases in world in february.,total recovered,world,february
1658,there are 39782 recovered cases in world in february.,total recovered,world,february
1659,there are 39782 total recovered cases in february.,total recovered,world,february
1660,there are 39782 recovered cases in february.,total recovered,world,february
1661,there are 91499 total recovered cases in world in march.,total recovered,world,march
1662,there are 91499 recovered cases in world in march.,total recovered,world,march
1663,there are 91499 total recovered cases in world .,total recovered,world,march
1664,there are 91499 total recovered cases in march.,total recovered,world,march
1665,there are 91499 recovered cases in world .,total recovered,world,march
1666,there are 91499 recovered cases in march.,total recovered,world,march
1667,there are 91499 total recovered cases .,total recovered,world,march
1668,there are 91499 recovered cases .,total recovered,world,march
1669,there are 0 new confirmed cases in afghanistan in january.,new confirmed,afghanistan,january
1670,there are 0 new cases in afghanistan in january.,new confirmed,afghanistan,january
1671,there are 1 new confirmed cases in afghanistan in february.,new confirmed,afghanistan,february
1672,there are 1 new cases in afghanistan in february.,new confirmed,afghanistan,february
1673,there are 23 new confirmed cases in afghanistan in march.,new confirmed,afghanistan,march
1674,there are 23 new cases in afghanistan in march.,new confirmed,afghanistan,march
1675,there are 23 new confirmed cases in afghanistan .,new confirmed,afghanistan,march
1676,there are 23 new cases in afghanistan .,new confirmed,afghanistan,march
1677,there are 0 new confirmed cases in albania in january.,new confirmed,albania,january
1678,there are 0 new cases in albania in january.,new confirmed,albania,january
1679,there are 0 new confirmed cases in albania in february.,new confirmed,albania,february
1680,there are 0 new cases in albania in february.,new confirmed,albania,february
1681,there are 76 new confirmed cases in albania in march.,new confirmed,albania,march
1682,there are 76 new cases in albania in march.,new confirmed,albania,march
1683,there are 76 new confirmed cases in albania .,new confirmed,albania,march
1684,there are 76 new cases in albania .,new confirmed,albania,march
1685,there are 0 new confirmed cases in algeria in january.,new confirmed,algeria,january
1686,there are 0 new cases in algeria in january.,new confirmed,algeria,january
1687,there are 1 new confirmed cases in algeria in february.,new confirmed,algeria,february
1688,there are 1 new cases in algeria in february.,new confirmed,algeria,february
1689,there are 138 new confirmed cases in algeria in march.,new confirmed,algeria,march
1690,there are 138 new cases in algeria in march.,new confirmed,algeria,march
1691,there are 138 new confirmed cases in algeria .,new confirmed,algeria,march
1692,there are 138 new cases in algeria .,new confirmed,algeria,march
1693,there are 0 new confirmed cases in andorra in january.,new confirmed,andorra,january
1694,there are 0 new cases in andorra in january.,new confirmed,andorra,january
1695,there are 0 new confirmed cases in andorra in february.,new confirmed,andorra,february
1696,there are 0 new cases in andorra in february.,new confirmed,andorra,february
1697,there are 88 new confirmed cases in andorra in march.,new confirmed,andorra,march
1698,there are 88 new cases in andorra in march.,new confirmed,andorra,march
1699,there are 88 new confirmed cases in andorra .,new confirmed,andorra,march
1700,there are 88 new cases in andorra .,new confirmed,andorra,march
1701,there are 0 new confirmed cases in antigua and barbuda in january.,new confirmed,antigua and barbuda,january
1702,there are 0 new cases in antigua and barbuda in january.,new confirmed,antigua and barbuda,january
1703,there are 0 new confirmed cases in antigua and barbuda in february.,new confirmed,antigua and barbuda,february
1704,there are 0 new cases in antigua and barbuda in february.,new confirmed,antigua and barbuda,february
1705,there are 1 new confirmed cases in antigua and barbuda in march.,new confirmed,antigua and barbuda,march
1706,there are 1 new cases in antigua and barbuda in march.,new confirmed,antigua and barbuda,march
1707,there are 1 new confirmed cases in antigua and barbuda .,new confirmed,antigua and barbuda,march
1708,there are 1 new cases in antigua and barbuda .,new confirmed,antigua and barbuda,march
1709,there are 0 new confirmed cases in argentina in january.,new confirmed,argentina,january
1710,there are 0 new cases in argentina in january.,new confirmed,argentina,january
1711,there are 0 new confirmed cases in argentina in february.,new confirmed,argentina,february
1712,there are 0 new cases in argentina in february.,new confirmed,argentina,february
1713,there are 158 new confirmed cases in argentina in march.,new confirmed,argentina,march
1714,there are 158 new cases in argentina in march.,new confirmed,argentina,march
1715,there are 158 new confirmed cases in argentina .,new confirmed,argentina,march
1716,there are 158 new cases in argentina .,new confirmed,argentina,march
1717,there are 0 new confirmed cases in armenia in january.,new confirmed,armenia,january
1718,there are 0 new cases in armenia in january.,new confirmed,armenia,january
1719,there are 0 new confirmed cases in armenia in february.,new confirmed,armenia,february
1720,there are 0 new cases in armenia in february.,new confirmed,armenia,february
1721,there are 160 new confirmed cases in armenia in march.,new confirmed,armenia,march
1722,there are 160 new cases in armenia in march.,new confirmed,armenia,march
1723,there are 160 new confirmed cases in armenia .,new confirmed,armenia,march
1724,there are 160 new cases in armenia .,new confirmed,armenia,march
1725,there are 9 new confirmed cases in australia in january.,new confirmed,australia,january
1726,there are 9 new cases in australia in january.,new confirmed,australia,january
1727,there are 16 new confirmed cases in australia in february.,new confirmed,australia,february
1728,there are 16 new cases in australia in february.,new confirmed,australia,february
1729,there are 1046 new confirmed cases in australia in march.,new confirmed,australia,march
1730,there are 1046 new cases in australia in march.,new confirmed,australia,march
1731,there are 1046 new confirmed cases in australia .,new confirmed,australia,march
1732,there are 1046 new cases in australia .,new confirmed,australia,march
1733,there are 0 new confirmed cases in austria in january.,new confirmed,austria,january
1734,there are 0 new cases in austria in january.,new confirmed,austria,january
1735,there are 9 new confirmed cases in austria in february.,new confirmed,austria,february
1736,there are 9 new cases in austria in february.,new confirmed,austria,february
1737,there are 2805 new confirmed cases in austria in march.,new confirmed,austria,march
1738,there are 2805 new cases in austria in march.,new confirmed,austria,march
1739,there are 2805 new confirmed cases in austria .,new confirmed,austria,march
1740,there are 2805 new cases in austria .,new confirmed,austria,march
1741,there are 0 new confirmed cases in azerbaijan in january.,new confirmed,azerbaijan,january
1742,there are 0 new cases in azerbaijan in january.,new confirmed,azerbaijan,january
1743,there are 0 new confirmed cases in azerbaijan in february.,new confirmed,azerbaijan,february
1744,there are 0 new cases in azerbaijan in february.,new confirmed,azerbaijan,february
1745,there are 53 new confirmed cases in azerbaijan in march.,new confirmed,azerbaijan,march
1746,there are 53 new cases in azerbaijan in march.,new confirmed,azerbaijan,march
1747,there are 53 new confirmed cases in azerbaijan .,new confirmed,azerbaijan,march
1748,there are 53 new cases in azerbaijan .,new confirmed,azerbaijan,march
1749,there are 0 new confirmed cases in bahrain in january.,new confirmed,bahrain,january
1750,there are 0 new cases in bahrain in january.,new confirmed,bahrain,january
1751,there are 41 new confirmed cases in bahrain in february.,new confirmed,bahrain,february
1752,there are 41 new cases in bahrain in february.,new confirmed,bahrain,february
1753,there are 264 new confirmed cases in bahrain in march.,new confirmed,bahrain,march
1754,there are 264 new cases in bahrain in march.,new confirmed,bahrain,march
1755,there are 264 new confirmed cases in bahrain .,new confirmed,bahrain,march
1756,there are 264 new cases in bahrain .,new confirmed,bahrain,march
1757,there are 0 new confirmed cases in bangladesh in january.,new confirmed,bangladesh,january
1758,there are 0 new cases in bangladesh in january.,new confirmed,bangladesh,january
1759,there are 0 new confirmed cases in bangladesh in february.,new confirmed,bangladesh,february
1760,there are 0 new cases in bangladesh in february.,new confirmed,bangladesh,february
1761,there are 25 new confirmed cases in bangladesh in march.,new confirmed,bangladesh,march
1762,there are 25 new cases in bangladesh in march.,new confirmed,bangladesh,march
1763,there are 25 new confirmed cases in bangladesh .,new confirmed,bangladesh,march
1764,there are 25 new cases in bangladesh .,new confirmed,bangladesh,march
1765,there are 0 new confirmed cases in belarus in january.,new confirmed,belarus,january
1766,there are 0 new cases in belarus in january.,new confirmed,belarus,january
1767,there are 1 new confirmed cases in belarus in february.,new confirmed,belarus,february
1768,there are 1 new cases in belarus in february.,new confirmed,belarus,february
1769,there are 75 new confirmed cases in belarus in march.,new confirmed,belarus,march
1770,there are 75 new cases in belarus in march.,new confirmed,belarus,march
1771,there are 75 new confirmed cases in belarus .,new confirmed,belarus,march
1772,there are 75 new cases in belarus .,new confirmed,belarus,march
1773,there are 0 new confirmed cases in belgium in january.,new confirmed,belgium,january
1774,there are 0 new cases in belgium in january.,new confirmed,belgium,january
1775,there are 1 new confirmed cases in belgium in february.,new confirmed,belgium,february
1776,there are 1 new cases in belgium in february.,new confirmed,belgium,february
1777,there are 2814 new confirmed cases in belgium in march.,new confirmed,belgium,march
1778,there are 2814 new cases in belgium in march.,new confirmed,belgium,march
1779,there are 2814 new confirmed cases in belgium .,new confirmed,belgium,march
1780,there are 2814 new cases in belgium .,new confirmed,belgium,march
1781,there are 0 new confirmed cases in benin in january.,new confirmed,benin,january
1782,there are 0 new cases in benin in january.,new confirmed,benin,january
1783,there are 0 new confirmed cases in benin in february.,new confirmed,benin,february
1784,there are 0 new cases in benin in february.,new confirmed,benin,february
1785,there are 2 new confirmed cases in benin in march.,new confirmed,benin,march
1786,there are 2 new cases in benin in march.,new confirmed,benin,march
1787,there are 2 new confirmed cases in benin .,new confirmed,benin,march
1788,there are 2 new cases in benin .,new confirmed,benin,march
1789,there are 0 new confirmed cases in bhutan in january.,new confirmed,bhutan,january
1790,there are 0 new cases in bhutan in january.,new confirmed,bhutan,january
1791,there are 0 new confirmed cases in bhutan in february.,new confirmed,bhutan,february
1792,there are 0 new cases in bhutan in february.,new confirmed,bhutan,february
1793,there are 2 new confirmed cases in bhutan in march.,new confirmed,bhutan,march
1794,there are 2 new cases in bhutan in march.,new confirmed,bhutan,march
1795,there are 2 new confirmed cases in bhutan .,new confirmed,bhutan,march
1796,there are 2 new cases in bhutan .,new confirmed,bhutan,march
1797,there are 0 new confirmed cases in bolivia in january.,new confirmed,bolivia,january
1798,there are 0 new cases in bolivia in january.,new confirmed,bolivia,january
1799,there are 0 new confirmed cases in bolivia in february.,new confirmed,bolivia,february
1800,there are 0 new cases in bolivia in february.,new confirmed,bolivia,february
1801,there are 19 new confirmed cases in bolivia in march.,new confirmed,bolivia,march
1802,there are 19 new cases in bolivia in march.,new confirmed,bolivia,march
1803,there are 19 new confirmed cases in bolivia .,new confirmed,bolivia,march
1804,there are 19 new cases in bolivia .,new confirmed,bolivia,march
1805,there are 0 new confirmed cases in bosnia and herzegovina in january.,new confirmed,bosnia and herzegovina,january
1806,there are 0 new cases in bosnia and herzegovina in january.,new confirmed,bosnia and herzegovina,january
1807,there are 0 new confirmed cases in bosnia and herzegovina in february.,new confirmed,bosnia and herzegovina,february
1808,there are 0 new cases in bosnia and herzegovina in february.,new confirmed,bosnia and herzegovina,february
1809,there are 93 new confirmed cases in bosnia and herzegovina in march.,new confirmed,bosnia and herzegovina,march
1810,there are 93 new cases in bosnia and herzegovina in march.,new confirmed,bosnia and herzegovina,march
1811,there are 93 new confirmed cases in bosnia and herzegovina .,new confirmed,bosnia and herzegovina,march
1812,there are 93 new cases in bosnia and herzegovina .,new confirmed,bosnia and herzegovina,march
1813,there are 0 new confirmed cases in brazil in january.,new confirmed,brazil,january
1814,there are 0 new cases in brazil in january.,new confirmed,brazil,january
1815,there are 2 new confirmed cases in brazil in february.,new confirmed,brazil,february
1816,there are 2 new cases in brazil in february.,new confirmed,brazil,february
1817,there are 1019 new confirmed cases in brazil in march.,new confirmed,brazil,march
1818,there are 1019 new cases in brazil in march.,new confirmed,brazil,march
1819,there are 1019 new confirmed cases in brazil .,new confirmed,brazil,march
1820,there are 1019 new cases in brazil .,new confirmed,brazil,march
1821,there are 0 new confirmed cases in brunei in january.,new confirmed,brunei,january
1822,there are 0 new cases in brunei in january.,new confirmed,brunei,january
1823,there are 0 new confirmed cases in brunei in february.,new confirmed,brunei,february
1824,there are 0 new cases in brunei in february.,new confirmed,brunei,february
1825,there are 83 new confirmed cases in brunei in march.,new confirmed,brunei,march
1826,there are 83 new cases in brunei in march.,new confirmed,brunei,march
1827,there are 83 new confirmed cases in brunei .,new confirmed,brunei,march
1828,there are 83 new cases in brunei .,new confirmed,brunei,march
1829,there are 0 new confirmed cases in bulgaria in january.,new confirmed,bulgaria,january
1830,there are 0 new cases in bulgaria in january.,new confirmed,bulgaria,january
1831,there are 0 new confirmed cases in bulgaria in february.,new confirmed,bulgaria,february
1832,there are 0 new cases in bulgaria in february.,new confirmed,bulgaria,february
1833,there are 163 new confirmed cases in bulgaria in march.,new confirmed,bulgaria,march
1834,there are 163 new cases in bulgaria in march.,new confirmed,bulgaria,march
1835,there are 163 new confirmed cases in bulgaria .,new confirmed,bulgaria,march
1836,there are 163 new cases in bulgaria .,new confirmed,bulgaria,march
1837,there are 0 new confirmed cases in burkina faso in january.,new confirmed,burkina faso,january
1838,there are 0 new cases in burkina faso in january.,new confirmed,burkina faso,january
1839,there are 0 new confirmed cases in burkina faso in february.,new confirmed,burkina faso,february
1840,there are 0 new cases in burkina faso in february.,new confirmed,burkina faso,february
1841,there are 64 new confirmed cases in burkina faso in march.,new confirmed,burkina faso,march
1842,there are 64 new cases in burkina faso in march.,new confirmed,burkina faso,march
1843,there are 64 new confirmed cases in burkina faso .,new confirmed,burkina faso,march
1844,there are 64 new cases in burkina faso .,new confirmed,burkina faso,march
1845,there are 1 new confirmed cases in cambodia in january.,new confirmed,cambodia,january
1846,there are 1 new cases in cambodia in january.,new confirmed,cambodia,january
1847,there are 0 new confirmed cases in cambodia in february.,new confirmed,cambodia,february
1848,there are 0 new cases in cambodia in february.,new confirmed,cambodia,february
1849,there are 52 new confirmed cases in cambodia in march.,new confirmed,cambodia,march
1850,there are 52 new cases in cambodia in march.,new confirmed,cambodia,march
1851,there are 52 new confirmed cases in cambodia .,new confirmed,cambodia,march
1852,there are 52 new cases in cambodia .,new confirmed,cambodia,march
1853,there are 0 new confirmed cases in cameroon in january.,new confirmed,cameroon,january
1854,there are 0 new cases in cameroon in january.,new confirmed,cameroon,january
1855,there are 0 new confirmed cases in cameroon in february.,new confirmed,cameroon,february
1856,there are 0 new cases in cameroon in february.,new confirmed,cameroon,february
1857,there are 27 new confirmed cases in cameroon in march.,new confirmed,cameroon,march
1858,there are 27 new cases in cameroon in march.,new confirmed,cameroon,march
1859,there are 27 new confirmed cases in cameroon .,new confirmed,cameroon,march
1860,there are 27 new cases in cameroon .,new confirmed,cameroon,march
1861,there are 4 new confirmed cases in canada in january.,new confirmed,canada,january
1862,there are 4 new cases in canada in january.,new confirmed,canada,january
1863,there are 16 new confirmed cases in canada in february.,new confirmed,canada,february
1864,there are 16 new cases in canada in february.,new confirmed,canada,february
1865,there are 1258 new confirmed cases in canada in march.,new confirmed,canada,march
1866,there are 1258 new cases in canada in march.,new confirmed,canada,march
1867,there are 1258 new confirmed cases in canada .,new confirmed,canada,march
1868,there are 1258 new cases in canada .,new confirmed,canada,march
1869,there are 0 new confirmed cases in central african republic in january.,new confirmed,central african republic,january
1870,there are 0 new cases in central african republic in january.,new confirmed,central african republic,january
1871,there are 0 new confirmed cases in central african republic in february.,new confirmed,central african republic,february
1872,there are 0 new cases in central african republic in february.,new confirmed,central african republic,february
1873,there are 3 new confirmed cases in central african republic in march.,new confirmed,central african republic,march
1874,there are 3 new cases in central african republic in march.,new confirmed,central african republic,march
1875,there are 3 new confirmed cases in central african republic .,new confirmed,central african republic,march
1876,there are 3 new cases in central african republic .,new confirmed,central african republic,march
1877,there are 0 new confirmed cases in chile in january.,new confirmed,chile,january
1878,there are 0 new cases in chile in january.,new confirmed,chile,january
1879,there are 0 new confirmed cases in chile in february.,new confirmed,chile,february
1880,there are 0 new cases in chile in february.,new confirmed,chile,february
1881,there are 537 new confirmed cases in chile in march.,new confirmed,chile,march
1882,there are 537 new cases in chile in march.,new confirmed,chile,march
1883,there are 537 new confirmed cases in chile .,new confirmed,chile,march
1884,there are 537 new cases in chile .,new confirmed,chile,march
1885,there are 9802 new confirmed cases in china in january.,new confirmed,china,january
1886,there are 9802 new cases in china in january.,new confirmed,china,january
1887,there are 69554 new confirmed cases in china in february.,new confirmed,china,february
1888,there are 69554 new cases in china in february.,new confirmed,china,february
1889,there are 1949 new confirmed cases in china in march.,new confirmed,china,march
1890,there are 1949 new cases in china in march.,new confirmed,china,march
1891,there are 1949 new confirmed cases in china .,new confirmed,china,march
1892,there are 1949 new cases in china .,new confirmed,china,march
1893,there are 0 new confirmed cases in colombia in january.,new confirmed,colombia,january
1894,there are 0 new cases in colombia in january.,new confirmed,colombia,january
1895,there are 0 new confirmed cases in colombia in february.,new confirmed,colombia,february
1896,there are 0 new cases in colombia in february.,new confirmed,colombia,february
1897,there are 196 new confirmed cases in colombia in march.,new confirmed,colombia,march
1898,there are 196 new cases in colombia in march.,new confirmed,colombia,march
1899,there are 196 new confirmed cases in colombia .,new confirmed,colombia,march
1900,there are 196 new cases in colombia .,new confirmed,colombia,march
1901,there are 0 new confirmed cases in congo (brazzaville) in january.,new confirmed,congo (brazzaville),january
1902,there are 0 new cases in congo (brazzaville) in january.,new confirmed,congo (brazzaville),january
1903,there are 0 new confirmed cases in congo (brazzaville) in february.,new confirmed,congo (brazzaville),february
1904,there are 0 new cases in congo (brazzaville) in february.,new confirmed,congo (brazzaville),february
1905,there are 3 new confirmed cases in congo (brazzaville) in march.,new confirmed,congo (brazzaville),march
1906,there are 3 new cases in congo (brazzaville) in march.,new confirmed,congo (brazzaville),march
1907,there are 3 new confirmed cases in congo (brazzaville) .,new confirmed,congo (brazzaville),march
1908,there are 3 new cases in congo (brazzaville) .,new confirmed,congo (brazzaville),march
1909,there are 0 new confirmed cases in congo (kinshasa) in january.,new confirmed,congo (kinshasa),january
1910,there are 0 new cases in congo (kinshasa) in january.,new confirmed,congo (kinshasa),january
1911,there are 0 new confirmed cases in congo (kinshasa) in february.,new confirmed,congo (kinshasa),february
1912,there are 0 new cases in congo (kinshasa) in february.,new confirmed,congo (kinshasa),february
1913,there are 23 new confirmed cases in congo (kinshasa) in march.,new confirmed,congo (kinshasa),march
1914,there are 23 new cases in congo (kinshasa) in march.,new confirmed,congo (kinshasa),march
1915,there are 23 new confirmed cases in congo (kinshasa) .,new confirmed,congo (kinshasa),march
1916,there are 23 new cases in congo (kinshasa) .,new confirmed,congo (kinshasa),march
1917,there are 0 new confirmed cases in costa rica in january.,new confirmed,costa rica,january
1918,there are 0 new cases in costa rica in january.,new confirmed,costa rica,january
1919,there are 0 new confirmed cases in costa rica in february.,new confirmed,costa rica,february
1920,there are 0 new cases in costa rica in february.,new confirmed,costa rica,february
1921,there are 117 new confirmed cases in costa rica in march.,new confirmed,costa rica,march
1922,there are 117 new cases in costa rica in march.,new confirmed,costa rica,march
1923,there are 117 new confirmed cases in costa rica .,new confirmed,costa rica,march
1924,there are 117 new cases in costa rica .,new confirmed,costa rica,march
1925,there are 0 new confirmed cases in cote d'ivoire in january.,new confirmed,cote d'ivoire,january
1926,there are 0 new cases in cote d'ivoire in january.,new confirmed,cote d'ivoire,january
1927,there are 0 new confirmed cases in cote d'ivoire in february.,new confirmed,cote d'ivoire,february
1928,there are 0 new cases in cote d'ivoire in february.,new confirmed,cote d'ivoire,february
1929,there are 14 new confirmed cases in cote d'ivoire in march.,new confirmed,cote d'ivoire,march
1930,there are 14 new cases in cote d'ivoire in march.,new confirmed,cote d'ivoire,march
1931,there are 14 new confirmed cases in cote d'ivoire .,new confirmed,cote d'ivoire,march
1932,there are 14 new cases in cote d'ivoire .,new confirmed,cote d'ivoire,march
1933,there are 0 new confirmed cases in croatia in january.,new confirmed,croatia,january
1934,there are 0 new cases in croatia in january.,new confirmed,croatia,january
1935,there are 6 new confirmed cases in croatia in february.,new confirmed,croatia,february
1936,there are 6 new cases in croatia in february.,new confirmed,croatia,february
1937,there are 200 new confirmed cases in croatia in march.,new confirmed,croatia,march
1938,there are 200 new cases in croatia in march.,new confirmed,croatia,march
1939,there are 200 new confirmed cases in croatia .,new confirmed,croatia,march
1940,there are 200 new cases in croatia .,new confirmed,croatia,march
1941,there are 0 new confirmed cases in cruise ship in january.,new confirmed,cruise ship,january
1942,there are 0 new cases in cruise ship in january.,new confirmed,cruise ship,january
1943,there are 705 new confirmed cases in cruise ship in february.,new confirmed,cruise ship,february
1944,there are 705 new cases in cruise ship in february.,new confirmed,cruise ship,february
1945,there are 7 new confirmed cases in cruise ship in march.,new confirmed,cruise ship,march
1946,there are 7 new cases in cruise ship in march.,new confirmed,cruise ship,march
1947,there are 7 new confirmed cases in cruise ship .,new confirmed,cruise ship,march
1948,there are 7 new cases in cruise ship .,new confirmed,cruise ship,march
1949,there are 0 new confirmed cases in cuba in january.,new confirmed,cuba,january
1950,there are 0 new cases in cuba in january.,new confirmed,cuba,january
1951,there are 0 new confirmed cases in cuba in february.,new confirmed,cuba,february
1952,there are 0 new cases in cuba in february.,new confirmed,cuba,february
1953,there are 21 new confirmed cases in cuba in march.,new confirmed,cuba,march
1954,there are 21 new cases in cuba in march.,new confirmed,cuba,march
1955,there are 21 new confirmed cases in cuba .,new confirmed,cuba,march
1956,there are 21 new cases in cuba .,new confirmed,cuba,march
1957,there are 0 new confirmed cases in cyprus in january.,new confirmed,cyprus,january
1958,there are 0 new cases in cyprus in january.,new confirmed,cyprus,january
1959,there are 0 new confirmed cases in cyprus in february.,new confirmed,cyprus,february
1960,there are 0 new cases in cyprus in february.,new confirmed,cyprus,february
1961,there are 84 new confirmed cases in cyprus in march.,new confirmed,cyprus,march
1962,there are 84 new cases in cyprus in march.,new confirmed,cyprus,march
1963,there are 84 new confirmed cases in cyprus .,new confirmed,cyprus,march
1964,there are 84 new cases in cyprus .,new confirmed,cyprus,march
1965,there are 0 new confirmed cases in czechia in january.,new confirmed,czechia,january
1966,there are 0 new cases in czechia in january.,new confirmed,czechia,january
1967,there are 0 new confirmed cases in czechia in february.,new confirmed,czechia,february
1968,there are 0 new cases in czechia in february.,new confirmed,czechia,february
1969,there are 995 new confirmed cases in czechia in march.,new confirmed,czechia,march
1970,there are 995 new cases in czechia in march.,new confirmed,czechia,march
1971,there are 995 new confirmed cases in czechia .,new confirmed,czechia,march
1972,there are 995 new cases in czechia .,new confirmed,czechia,march
1973,there are 0 new confirmed cases in denmark in january.,new confirmed,denmark,january
1974,there are 0 new cases in denmark in january.,new confirmed,denmark,january
1975,there are 3 new confirmed cases in denmark in february.,new confirmed,denmark,february
1976,there are 3 new cases in denmark in february.,new confirmed,denmark,february
1977,there are 1417 new confirmed cases in denmark in march.,new confirmed,denmark,march
1978,there are 1417 new cases in denmark in march.,new confirmed,denmark,march
1979,there are 1417 new confirmed cases in denmark .,new confirmed,denmark,march
1980,there are 1417 new cases in denmark .,new confirmed,denmark,march
1981,there are 0 new confirmed cases in dominican republic in january.,new confirmed,dominican republic,january
1982,there are 0 new cases in dominican republic in january.,new confirmed,dominican republic,january
1983,there are 0 new confirmed cases in dominican republic in february.,new confirmed,dominican republic,february
1984,there are 0 new cases in dominican republic in february.,new confirmed,dominican republic,february
1985,there are 112 new confirmed cases in dominican republic in march.,new confirmed,dominican republic,march
1986,there are 112 new cases in dominican republic in march.,new confirmed,dominican republic,march
1987,there are 112 new confirmed cases in dominican republic .,new confirmed,dominican republic,march
1988,there are 112 new cases in dominican republic .,new confirmed,dominican republic,march
1989,there are 0 new confirmed cases in ecuador in january.,new confirmed,ecuador,january
1990,there are 0 new cases in ecuador in january.,new confirmed,ecuador,january
1991,there are 0 new confirmed cases in ecuador in february.,new confirmed,ecuador,february
1992,there are 0 new cases in ecuador in february.,new confirmed,ecuador,february
1993,there are 506 new confirmed cases in ecuador in march.,new confirmed,ecuador,march
1994,there are 506 new cases in ecuador in march.,new confirmed,ecuador,march
1995,there are 506 new confirmed cases in ecuador .,new confirmed,ecuador,march
1996,there are 506 new cases in ecuador .,new confirmed,ecuador,march
1997,there are 0 new confirmed cases in egypt in january.,new confirmed,egypt,january
1998,there are 0 new cases in egypt in january.,new confirmed,egypt,january
1999,there are 1 new confirmed cases in egypt in february.,new confirmed,egypt,february
2000,there are 1 new cases in egypt in february.,new confirmed,egypt,february
2001,there are 293 new confirmed cases in egypt in march.,new confirmed,egypt,march
2002,there are 10 new deaths cases in egypt in march.,new deaths,egypt,march
2003,there are 10 new deaths cases in egypt .,new deaths,egypt,march
2004,there are 0 new deaths cases in equatorial guinea in january.,new deaths,equatorial guinea,january
2005,there are 0 new deaths cases in equatorial guinea in february.,new deaths,equatorial guinea,february
2006,there are 0 new deaths cases in equatorial guinea in march.,new deaths,equatorial guinea,march
2007,there are 0 new deaths cases in equatorial guinea .,new deaths,equatorial guinea,march
2008,there are 0 new deaths cases in estonia in january.,new deaths,estonia,january
2009,there are 0 new deaths cases in estonia in february.,new deaths,estonia,february
2010,there are 0 new deaths cases in estonia in march.,new deaths,estonia,march
2011,there are 0 new deaths cases in estonia .,new deaths,estonia,march
2012,there are 0 new deaths cases in eswatini in january.,new deaths,eswatini,january
2013,there are 0 new deaths cases in eswatini in february.,new deaths,eswatini,february
2014,there are 0 new deaths cases in eswatini in march.,new deaths,eswatini,march
2015,there are 0 new deaths cases in eswatini .,new deaths,eswatini,march
2016,there are 0 new deaths cases in ethiopia in january.,new deaths,ethiopia,january
2017,there are 0 new deaths cases in ethiopia in february.,new deaths,ethiopia,february
2018,there are 0 new deaths cases in ethiopia in march.,new deaths,ethiopia,march
2019,there are 0 new deaths cases in ethiopia .,new deaths,ethiopia,march
2020,there are 0 new deaths cases in finland in january.,new deaths,finland,january
2021,there are 0 new deaths cases in finland in february.,new deaths,finland,february
2022,there are 1 new deaths cases in finland in march.,new deaths,finland,march
2023,there are 1 new deaths cases in finland .,new deaths,finland,march
2024,there are 0 new deaths cases in france in january.,new deaths,france,january
2025,there are 2 new deaths cases in france in february.,new deaths,france,february
2026,there are 560 new deaths cases in france in march.,new deaths,france,march
2027,there are 560 new deaths cases in france .,new deaths,france,march
2028,there are 0 new deaths cases in gabon in january.,new deaths,gabon,january
2029,there are 0 new deaths cases in gabon in february.,new deaths,gabon,february
2030,there are 1 new deaths cases in gabon in march.,new deaths,gabon,march
2031,there are 1 new deaths cases in gabon .,new deaths,gabon,march
2032,there are 0 new deaths cases in georgia in january.,new deaths,georgia,january
2033,there are 0 new deaths cases in georgia in february.,new deaths,georgia,february
2034,there are 0 new deaths cases in georgia in march.,new deaths,georgia,march
2035,there are 0 new deaths cases in georgia .,new deaths,georgia,march
2036,there are 0 new deaths cases in germany in january.,new deaths,germany,january
2037,there are 0 new deaths cases in germany in february.,new deaths,germany,february
2038,there are 84 new deaths cases in germany in march.,new deaths,germany,march
2039,there are 84 new deaths cases in germany .,new deaths,germany,march
2040,there are 0 new deaths cases in ghana in january.,new deaths,ghana,january
2041,there are 0 new deaths cases in ghana in february.,new deaths,ghana,february
2042,there are 1 new deaths cases in ghana in march.,new deaths,ghana,march
2043,there are 1 new deaths cases in ghana .,new deaths,ghana,march
2044,there are 0 new deaths cases in greece in january.,new deaths,greece,january
2045,there are 0 new deaths cases in greece in february.,new deaths,greece,february
2046,there are 13 new deaths cases in greece in march.,new deaths,greece,march
2047,there are 13 new deaths cases in greece .,new deaths,greece,march
2048,there are 0 new deaths cases in guatemala in january.,new deaths,guatemala,january
2049,there are 0 new deaths cases in guatemala in february.,new deaths,guatemala,february
2050,there are 1 new deaths cases in guatemala in march.,new deaths,guatemala,march
2051,there are 1 new deaths cases in guatemala .,new deaths,guatemala,march
2052,there are 0 new deaths cases in guinea in january.,new deaths,guinea,january
2053,there are 0 new deaths cases in guinea in february.,new deaths,guinea,february
2054,there are 0 new deaths cases in guinea in march.,new deaths,guinea,march
2055,there are 0 new deaths cases in guinea .,new deaths,guinea,march
2056,there are 0 new deaths cases in guyana in january.,new deaths,guyana,january
2057,there are 0 new deaths cases in guyana in february.,new deaths,guyana,february
2058,there are 1 new deaths cases in guyana in march.,new deaths,guyana,march
2059,there are 1 new deaths cases in guyana .,new deaths,guyana,march
2060,there are 0 new deaths cases in holy see in january.,new deaths,holy see,january
2061,there are 0 new deaths cases in holy see in february.,new deaths,holy see,february
2062,there are 0 new deaths cases in holy see in march.,new deaths,holy see,march
2063,there are 0 new deaths cases in holy see .,new deaths,holy see,march
2064,there are 0 new deaths cases in honduras in january.,new deaths,honduras,january
